# Total Elements   Elements Per Thread    Slices   Nodes   Time / s
               0        134217728    0    1    0.00000
       134217728        134217728    1    1    3.46447
       268435456        134217728    2    1    6.52247
       402653184        134217728    3    1    3.69557
       536870912        134217728    4    1    3.63290
       671088640        134217728    5    1    4.87170
       805306368        134217728    6    1    4.87143
               0        268435456    0    1    0.00000
       268435456        268435456    1    1    4.69031
       536870912        268435456    2    1    3.29458
       805306368        268435456    3    1    4.92582
      1073741824        268435456    4    1    5.18014
      1342177280        268435456    5    1   10.38175
      1610612736        268435456    6    1    6.01516
               0        536870912    0    1    0.00000
       536870912        536870912    1    1    7.10203
      1073741824        536870912    2    1    7.18618
      1610612736        536870912    3    1    9.85954
      2147483648        536870912    4    1    6.20212
      2684354560        536870912    5    1   10.97236
      3221225472        536870912    6    1   12.52918
               0       1073741824    0    1    0.00000
      1073741824       1073741824    1    1   12.69779
      2147483648       1073741824    2    1   12.10095
      3221225472       1073741824    3    1   12.66528
      4294967296       1073741824    4    1   12.89844
      5368709120       1073741824    5    1   22.47758
      6442450944       1073741824    6    1   23.19976
               0       2147483648    0    1    0.00000
      2147483648       2147483648    1    1   21.69393
      4294967296       2147483648    2    1   25.03981
      6442450944       2147483648    3    1   23.25627
      8589934592       2147483648    4    1   22.08291
     10737418240       2147483648    5    1   41.43307
     12884901888       2147483648    6    1   43.19598
               0       4294967296    0    1    0.00000
      4294967296       4294967296    1    1   40.76176
      8589934592       4294967296    2    1   41.45861
     12884901888       4294967296    3    1   42.25739
     17179869184       4294967296    4    1   44.73654
     21474836480       4294967296    5    1   83.26607
     25769803776       4294967296    6    1   83.92018
               0       8589934592    0    1    0.00000
      8589934592       8589934592    1    1   77.95957
     17179869184       8589934592    2    1   80.62125
     25769803776       8589934592    3    1   84.66037
     34359738368       8589934592    4    1   86.92417
     42949672960       8589934592    5    1  163.79880
     51539607552       8589934592    6    1  165.54596
       536870912        134217728    4    2    3.72988
       671088640        134217728    5    2    2.28157
       805306368        134217728    6    2    4.38569
       939524096        134217728    7    2    2.31166
      1073741824        134217728    8    2    4.11021
      1207959552        134217728    9    2    6.39845
      1342177280        134217728   10    2    4.24895
      1073741824        268435456    4    2    4.89664
      1342177280        268435456    5    2    4.67372
      1610612736        268435456    6    2    4.97362
      1879048192        268435456    7    2    4.83169
      2147483648        268435456    8    2    5.06212
      2415919104        268435456    9    2    7.40067
      2684354560        268435456   10    2    7.45360
      2147483648        536870912    4    2    7.23376
      2684354560        536870912    5    2   10.51228
      3221225472        536870912    6    2    7.55907
      3758096384        536870912    7    2    7.42495
      4294967296        536870912    8    2    8.31156
      4831838208        536870912    9    2   12.51478
      5368709120        536870912   10    2   11.05794
      4294967296       1073741824    4    2   12.59919
      5368709120       1073741824    5    2   13.31349
      6442450944       1073741824    6    2   12.55395
      7516192768       1073741824    7    2   11.65968
      8589934592       1073741824    8    2   13.21668
      9663676416       1073741824    9    2   22.67770
     10737418240       1073741824   10    2   23.72025
      8589934592       2147483648    4    2   26.73934
     10737418240       2147483648    5    2   23.07560
     12884901888       2147483648    6    2   26.57560
     15032385536       2147483648    7    2   23.43555
     17179869184       2147483648    8    2   23.57513
     19327352832       2147483648    9    2   43.39195
     21474836480       2147483648   10    2   44.01821
     17179869184       4294967296    4    2   44.75521
     21474836480       4294967296    5    2   46.33909
     25769803776       4294967296    6    2   44.98997
     30064771072       4294967296    7    2   44.88676
     34359738368       4294967296    8    2   45.01818
     38654705664       4294967296    9    2   83.10806
     42949672960       4294967296   10    2   84.22715
     34359738368       8589934592    4    2   87.41573
     42949672960       8589934592    5    2   87.62780
     51539607552       8589934592    6    2   87.19744
     60129542144       8589934592    7    2   87.45622
     68719476736       8589934592    8    2   88.00302
     77309411328       8589934592    9    2  163.84250
     85899345920       8589934592   10    2  165.99753
      1610612736        134217728   12    4    3.81616
      1744830464        134217728   13    4    2.39543
      1879048192        134217728   14    4    3.70633
      2013265920        134217728   15    4    3.66316
      2147483648        134217728   16    4    3.66973
      2281701376        134217728   17    4    5.03591
      2415919104        134217728   18    4    5.13994
      3221225472        268435456   12    4    4.90113
      3489660928        268435456   13    4    4.90456
      3758096384        268435456   14    4    7.42580
      4026531840        268435456   15    4    4.90847
      4294967296        268435456   16    4    4.99926
      4563402752        268435456   17    4    6.18857
      4831838208        268435456   18    4   10.69690
      6442450944        536870912   12    4    7.47441
      6979321856        536870912   13    4    7.57808
      7516192768        536870912   14    4    7.65424
      8053063680        536870912   15    4    7.71231
      8589934592        536870912   16    4    7.61230
      9126805504        536870912   17    4   11.04664
      9663676416        536870912   18    4   12.57792
     12884901888       1073741824   12    4   12.58911
