# Total Elements   Elements Per Thread    Slices   Nodes   Time / s
               0        134217728    0    1    0.00000
       134217728        134217728    1    1    4.77888
       268435456        134217728    2    1    6.01227
       402653184        134217728    3    1    6.31787
       536870912        134217728    4    1    8.17355
       671088640        134217728    5    1   11.71314
       805306368        134217728    6    1   11.48313
               0        268435456    0    1    0.00000
       268435456        268435456    1    1    4.90499
       536870912        268435456    2    1    4.85408
       805306368        268435456    3    1    9.20853
      1073741824        268435456    4    1   12.11650
      1342177280        268435456    5    1   10.71008
      1610612736        268435456    6    1   16.09203
               0        536870912    0    1    0.00000
       536870912        536870912    1    1    5.41239
      1073741824        536870912    2    1    6.86195
      1610612736        536870912    3    1    7.27843
      2147483648        536870912    4    1   10.78474
      2684354560        536870912    5    1   13.63076
      3221225472        536870912    6    1   15.05883
               0       1073741824    0    1    0.00000
      1073741824       1073741824    1    1    6.65238
      2147483648       1073741824    2    1    6.54418
      3221225472       1073741824    3    1    8.81383
      4294967296       1073741824    4    1   14.73875
      5368709120       1073741824    5    1   16.00543
      6442450944       1073741824    6    1   17.25457
               0       2147483648    0    1    0.00000
      2147483648       2147483648    1    1    8.93972
      4294967296       2147483648    2    1   10.27590
      6442450944       2147483648    3    1   12.53404
      8589934592       2147483648    4    1   14.47712
     10737418240       2147483648    5    1   18.98012
     12884901888       2147483648    6    1   21.36491
               0       4294967296    0    1    0.00000
      4294967296       4294967296    1    1   12.04538
      8589934592       4294967296    2    1   14.78524
     12884901888       4294967296    3    1   17.17322
     17179869184       4294967296    4    1   19.17582
     21474836480       4294967296    5    1   29.59711
     25769803776       4294967296    6    1   30.34260
               0       8589934592    0    1    0.00000
      8589934592       8589934592    1    1   21.19098
     17179869184       8589934592    2    1   23.93513
     25769803776       8589934592    3    1   26.15617
     34359738368       8589934592    4    1   27.47025
     42949672960       8589934592    5    1   47.98530
     51539607552       8589934592    6    1   48.89812
       536870912        134217728    4    2   10.35842
       671088640        134217728    5    2    6.69041
       805306368        134217728    6    2    8.59763
       939524096        134217728    7    2    8.50407
      1073741824        134217728    8    2   10.39109
      1207959552        134217728    9    2   11.66232
      1342177280        134217728   10    2   11.53487
      1073741824        268435456    4    2    6.20374
      1342177280        268435456    5    2    8.57698
      1610612736        268435456    6    2    8.32223
      1879048192        268435456    7    2   10.84627
      2147483648        268435456    8    2   11.13714
      2415919104        268435456    9    2   11.64804
      2684354560        268435456   10    2   13.65136
      2147483648        536870912    4    2    8.22381
      2684354560        536870912    5    2    8.24961
      3221225472        536870912    6    2    9.81073
      3758096384        536870912    7    2   12.26405
      4294967296        536870912    8    2   12.02846
      4831838208        536870912    9    2   13.20712
      5368709120        536870912   10    2   14.86352
      4294967296       1073741824    4    2    7.49878
      5368709120       1073741824    5    2   15.17360
      6442450944       1073741824    6    2   10.82115
      7516192768       1073741824    7    2   15.21924
      8589934592       1073741824    8    2   14.18506
      9663676416       1073741824    9    2   16.48645
     10737418240       1073741824   10    2   17.16755
      8589934592       2147483648    4    2    8.19882
     10737418240       2147483648    5    2   14.75745
     12884901888       2147483648    6    2   16.30392
     15032385536       2147483648    7    2   19.11711
     17179869184       2147483648    8    2   20.28009
     19327352832       2147483648    9    2   19.98163
     21474836480       2147483648   10    2   19.56420
     17179869184       4294967296    4    2   17.42236
     21474836480       4294967296    5    2   17.01297
     25769803776       4294967296    6    2   17.55221
     30064771072       4294967296    7    2   17.49803
     34359738368       4294967296    8    2   17.50481
     38654705664       4294967296    9    2   25.98602
     42949672960       4294967296   10    2   27.64767
     34359738368       8589934592    4    2   24.22533
     42949672960       8589934592    5    2   24.55445
     51539607552       8589934592    6    2   24.40220
     60129542144       8589934592    7    2   24.83865
     68719476736       8589934592    8    2   24.69790
     77309411328       8589934592    9    2   40.10286
     85899345920       8589934592   10    2   41.25471
      1610612736        134217728   12    4   11.42083
      1744830464        134217728   13    4   12.19871
      1879048192        134217728   14    4   10.84567
      2013265920        134217728   15    4   11.35753
      2147483648        134217728   16    4   14.51887
      2281701376        134217728   17    4   11.84120
      2415919104        134217728   18    4   13.45885
      3221225472        268435456   12    4   10.16832
      3489660928        268435456   13    4    9.76477
      3758096384        268435456   14    4   13.24610
      4026531840        268435456   15    4   11.19945
      4294967296        268435456   16    4   13.36644
      4563402752        268435456   17    4   13.04338
      4831838208        268435456   18    4   16.50306
      6442450944        536870912   12    4   11.49240
      6979321856        536870912   13    4   13.76903
      7516192768        536870912   14    4   12.35284
      8053063680        536870912   15    4   14.38526
      8589934592        536870912   16    4   14.15455
      9126805504        536870912   17    4   15.55284
      9663676416        536870912   18    4   15.77559
     12884901888       1073741824   12    4   15.33717
     13958643712       1073741824   13    4   13.72608
     15032385536       1073741824   14    4   20.22329
     16106127360       1073741824   15    4   16.09586
     17179869184       1073741824   16    4   17.32846
     18253611008       1073741824   17    4   20.49593
     19327352832       1073741824   18    4   21.94235
     25769803776       2147483648   12    4   19.08332
     27917287424       2147483648   13    4   22.05521
     30064771072       2147483648   14    4   23.62258
     32212254720       2147483648   15    4   15.38144
     34359738368       2147483648   16    4   17.72187
     36507222016       2147483648   17    4   18.70033
     38654705664       2147483648   18    4   19.09952
     51539607552       4294967296   12    4   17.81419
     55834574848       4294967296   13    4   20.75951
     60129542144       4294967296   14    4   21.00180
     64424509440       4294967296   15    4   18.22540
     68719476736       4294967296   16    4   20.55685
     73014444032       4294967296   17    4   25.62747
     77309411328       4294967296   18    4   27.24447
    103079215104       8589934592   12    4   25.40047
    111669149696       8589934592   13    4   44.80683
    120259084288       8589934592   14    4   25.03164
    128849018880       8589934592   15    4   26.78003
    137438953472       8589934592   16    4   29.37044
    146028888064       8589934592   17    4   39.89852
    154618822656       8589934592   18    4   41.56708
      3758096384        134217728   28    8   11.87613
      3892314112        134217728   29    8   11.75094
      4026531840        134217728   30    8   10.59541
      4160749568        134217728   31    8   10.83531
      4294967296        134217728   32    8   11.55722
      4429185024        134217728   33    8   12.72153
      4563402752        134217728   34    8   12.63442
      7516192768        268435456   28    8   14.67328
      7784628224        268435456   29    8   14.31652
      8053063680        268435456   30    8   12.12047
      8321499136        268435456   31    8   11.86497
      8589934592        268435456   32    8   13.93971
      8858370048        268435456   33    8   13.14377
      9126805504        268435456   34    8   12.86412
     15032385536        536870912   28    8   13.78416
     15569256448        536870912   29    8   13.97683
     16106127360        536870912   30    8   13.71732
     16642998272        536870912   31    8   14.05514
     17179869184        536870912   32    8   14.22145
     17716740096        536870912   33    8   14.33270
     18253611008        536870912   34    8   14.84675
     30064771072       1073741824   28    8   17.48536
     31138512896       1073741824   29    8   17.40918
     32212254720       1073741824   30    8   17.72247
     33285996544       1073741824   31    8   16.70011
     34359738368       1073741824   32    8   18.17319
     35433480192       1073741824   33    8   19.06487
     36507222016       1073741824   34    8   21.22823
     60129542144       2147483648   28    8   25.29140
     62277025792       2147483648   29    8   16.34550
     64424509440       2147483648   30    8   17.22995
     66571993088       2147483648   31    8   24.40203
     68719476736       2147483648   32    8   26.99451
     70866960384       2147483648   33    8   30.00126
     73014444032       2147483648   34    8   20.89163
    120259084288       4294967296   28    8   19.02582
    124554051584       4294967296   29    8   19.07981
    128849018880       4294967296   30    8   26.84411
    133143986176       4294967296   31    8   19.43010
    137438953472       4294967296   32    8   19.72944
    141733920768       4294967296   33    8   28.13342
    146028888064       4294967296   34    8   36.21764
    240518168576       8589934592   28    8   26.00117
    249108103168       8589934592   29    8   40.07608
    257698037760       8589934592   30    8   26.29370
    266287972352       8589934592   31    8   25.49691
    274877906944       8589934592   32    8   26.31026
    283467841536       8589934592   33    8   40.62268
    292057776128       8589934592   34    8   41.58741
      8053063680        134217728   60   16    0.00000
      8187281408        134217728   61   16   13.41492
      8321499136        134217728   62   16   13.82016
      8455716864        134217728   63   16   14.68133
      8589934592        134217728   64   16   12.22290
      8724152320        134217728   65   16   12.61624
      8858370048        134217728   66   16   16.39459
     16106127360        268435456   60   16   13.24026
     16374562816        268435456   61   16   15.24397
     16642998272        268435456   62   16   13.70259
     16911433728        268435456   63   16   15.87996
     17179869184        268435456   64   16   16.20914
     17448304640        268435456   65   16   15.84380
     17716740096        268435456   66   16   13.32204
     32212254720        536870912   60   16   15.87570
     32749125632        536870912   61   16   16.30946
     33285996544        536870912   62   16   16.27686
     33822867456        536870912   63   16   15.22613
     34359738368        536870912   64   16   16.24162
     34896609280        536870912   65   16   16.25463
     35433480192        536870912   66   16   17.85269
     64424509440       1073741824   60   16   19.43270
     65498251264       1073741824   61   16   21.97537
     66571993088       1073741824   62   16   21.07539
     67645734912       1073741824   63   16   18.38425
     68719476736       1073741824   64   16   21.32834
     69793218560       1073741824   65   16   22.72781
     70866960384       1073741824   66   16   22.63375
    128849018880       2147483648   60   16   29.60299
    130996502528       2147483648   61   16   19.18066
    133143986176       2147483648   62   16   19.98494
    135291469824       2147483648   63   16   17.97019
    137438953472       2147483648   64   16   22.90372
    139586437120       2147483648   65   16   30.34264
    141733920768       2147483648   66   16   21.97290
    257698037760       4294967296   60   16   22.24514
    261993005056       4294967296   61   16   31.61907
    266287972352       4294967296   62   16   29.11222
    270582939648       4294967296   63   16   25.65795
    274877906944       4294967296   64   16   22.47066
    279172874240       4294967296   65   16   26.34207
    283467841536       4294967296   66   16   28.17549
    515396075520       8589934592   60   16   31.96734
    523986010112       8589934592   61   16   31.45687
    532575944704       8589934592   62   16   32.36459
    541165879296       8589934592   63   16   31.27815
    549755813888       8589934592   64   16   30.73737
    558345748480       8589934592   65   16   40.55412
    566935683072       8589934592   66   16   41.83622
     12348030976        134217728   92   24   16.93697
     12482248704        134217728   93   24   15.59167
     12616466432        134217728   94   24   14.18462
     12750684160        134217728   95   24   14.70582
     12884901888        134217728   96   24   15.28872
     13019119616        134217728   97   24   15.41692
     13153337344        134217728   98   24   14.94913
     24696061952        268435456   92   24   15.38667
     24964497408        268435456   93   24   15.05770
     25232932864        268435456   94   24   14.73332
     25501368320        268435456   95   24   16.34784
     25769803776        268435456   96   24   15.10569
     26038239232        268435456   97   24   14.60767
     26306674688        268435456   98   24   16.53048
     49392123904        536870912   92   24   19.26199
     49928994816        536870912   93   24   17.92016
     50465865728        536870912   94   24   17.59327
     51002736640        536870912   95   24   16.82180
     51539607552        536870912   96   24   19.42653
     52076478464        536870912   97   24   18.72825
     52613349376        536870912   98   24   18.44879
     98784247808       1073741824   92   24   20.77826
     99857989632       1073741824   93   24   23.89391
    100931731456       1073741824   94   24   18.67459
    102005473280       1073741824   95   24   19.56442
    103079215104       1073741824   96   24   18.77705
    104152956928       1073741824   97   24   19.67892
    105226698752       1073741824   98   24   18.16902
    197568495616       2147483648   92   24   31.86610
    199715979264       2147483648   93   24   19.33778
    201863462912       2147483648   94   24   19.13579
    204010946560       2147483648   95   24   20.28350
    206158430208       2147483648   96   24   19.24858
    208305913856       2147483648   97   24   19.39599
    210453397504       2147483648   98   24   21.85613
    395136991232       4294967296   92   24   23.10380
    399431958528       4294967296   93   24   33.05681
    403726925824       4294967296   94   24   29.49283
    408021893120       4294967296   95   24   29.58184
    412316860416       4294967296   96   24   33.07681
    416611827712       4294967296   97   24   29.03054
    420906795008       4294967296   98   24   28.96200
    790273982464       8589934592   92   24   45.22211
    798863917056       8589934592   93   24   68.22136
    807453851648       8589934592   94   24   29.79518
    816043786240       8589934592   95   24   29.72106
    824633720832       8589934592   96   24   44.04468
    833223655424       8589934592   97   24   41.59117
    841813590016       8589934592   98   24   41.25687
     16642998272        134217728  124   32   18.08538
     16777216000        134217728  125   32   17.81172
     16911433728        134217728  126   32   18.17409
     17045651456        134217728  127   32   17.09326
     17179869184        134217728  128   32   17.50836
     17314086912        134217728  129   32   15.92922
     17448304640        134217728  130   32   15.27868
     33285996544        268435456  124   32   18.04261
     33554432000        268435456  125   32   18.24691
     33822867456        268435456  126   32   17.61545
     34091302912        268435456  127   32   17.71062
     34359738368        268435456  128   32   17.81178
     34628173824        268435456  129   32   17.47995
     34896609280        268435456  130   32   17.01946
     66571993088        536870912  124   32   18.62799
     67108864000        536870912  125   32   18.02233
     67645734912        536870912  126   32   21.68545
     68182605824        536870912  127   32   21.24944
     68719476736        536870912  128   32   17.60612
     69256347648        536870912  129   32   20.86058
     69793218560        536870912  130   32   19.41372
    133143986176       1073741824  124   32   24.05009
    134217728000       1073741824  125   32   23.25681
    135291469824       1073741824  126   32   24.92231
    136365211648       1073741824  127   32   25.37463
    137438953472       1073741824  128   32   22.79474
    138512695296       1073741824  129   32   20.68625
    139586437120       1073741824  130   32   21.86552
    266287972352       2147483648  124   32   24.65375
    268435456000       2147483648  125   32   26.53216
    270582939648       2147483648  126   32   21.53188
    272730423296       2147483648  127   32   21.12135
    274877906944       2147483648  128   32   25.45263
    277025390592       2147483648  129   32   23.02183
    279172874240       2147483648  130   32   25.39423
    532575944704       4294967296  124   32   28.33618
    536870912000       4294967296  125   32   33.82752
    541165879296       4294967296  126   32   28.69200
    545460846592       4294967296  127   32   33.28482
    549755813888       4294967296  128   32   35.41680
    554050781184       4294967296  129   32   43.80012
    558345748480       4294967296  130   32   29.97924
   1065151889408       8589934592  124   32   46.44357
   1073741824000       8589934592  125   32   64.14980
   1082331758592       8589934592  126   32   60.21888
   1090921693184       8589934592  127   32    0.00000
   1099511627776       8589934592  128   32   57.32780
   1108101562368       8589934592  129   32   48.92581
   1116691496960       8589934592  130   32   46.87954
